country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Telangana,Hyderabad,"Ramachandrapuram, Hyderabad - TSPCB",16-12-2025 21:00,17.528544,78.286195,PM2.5,39,62,47
India,Telangana,Hyderabad,"Ramachandrapuram, Hyderabad - TSPCB",16-12-2025 21:00,17.528544,78.286195,CO,28,54,35
India,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",16-12-2025 21:00,17.349694,78.451437,PM2.5,65,172,102
India,Telangana,Hyderabad,"Kokapet, Hyderabad - TSPCB",16-12-2025 21:00,17.393559,78.339194,SO2,12,20,15
India,Telangana,Hyderabad,"Kompally Municipal Office, Hyderabad - TSPCB",16-12-2025 21:00,17.544899,78.486949,CO,16,20,17
India,Telangana,Hyderabad,"Nacharam_TSIIC IALA, Hyderabad - TSPCB",16-12-2025 21:00,17.429398,78.569354,PM2.5,53,70,59
India,Telangana,Hyderabad,"Nacharam_TSIIC IALA, Hyderabad - TSPCB",16-12-2025 21:00,17.429398,78.569354,PM10,76,89,81
India,Telangana,Hyderabad,"Nacharam_TSIIC IALA, Hyderabad - TSPCB",16-12-2025 21:00,17.429398,78.569354,SO2,11,15,14
India,TamilNadu,Chennai,"Perungudi, Chennai - TNPCB",16-12-2025 21:00,12.9533,80.2357,NO2,3,10,6
India,TamilNadu,Chennai,"Royapuram, Chennai - TNPCB",16-12-2025 21:00,13.1036,80.2909,NH3,2,4,3
India,TamilNadu,Chennai,"Royapuram, Chennai - TNPCB",16-12-2025 21:00,13.1036,80.2909,OZONE,16,18,17
India,TamilNadu,Chennai,"Velachery Res. Area, Chennai - CPCB",16-12-2025 21:00,13.0052189,80.2398125,NO2,13,15,14
India,TamilNadu,Coimbatore,"PSG College of Arts and Science, Coimbatore - TNPCB",16-12-2025 21:00,11.0328,77.0349,PM2.5,87,253,162
India,TamilNadu,Coimbatore,"SIDCO Kurichi, Coimbatore - TNPCB",16-12-2025 21:00,10.942451,76.978996,PM10,57,116,82
India,TamilNadu,Coimbatore,"SIDCO Kurichi, Coimbatore - TNPCB",16-12-2025 21:00,10.942451,76.978996,SO2,21,23,22
India,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",16-12-2025 21:00,17.540891,78.358528,NO2,22,56,40
India,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",16-12-2025 21:00,17.540891,78.358528,CO,19,51,39
India,Telangana,Hyderabad,"ECIL Kapra, Hyderabad - TSPCB",16-12-2025 21:00,17.470431,78.566959,CO,20,48,29
India,Uttar_Pradesh,Gorakhpur,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB",16-12-2025 21:00,26.730136,83.433859,PM10,36,139,104
India,Uttar_Pradesh,Gorakhpur,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB",16-12-2025 21:00,26.730136,83.433859,NH3,1,1,1
India,Uttar_Pradesh,Gorakhpur,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB",16-12-2025 21:00,26.730136,83.433859,SO2,34,35,35
India,Uttar_Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",16-12-2025 21:00,28.47272,77.482,NO2,25,118,73
India,Uttar_Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",16-12-2025 21:00,28.47272,77.482,NH3,9,21,15
India,Uttar_Pradesh,Greater Noida,"Knowledge Park - V, Greater Noida - UPPCB",16-12-2025 21:00,28.557054,77.453663,NH3,7,22,17
India,Uttar_Pradesh,Hapur,"Anand Vihar, Hapur - UPPCB",16-12-2025 21:00,28.725645,77.749675,CO,4,24,9
India,Uttar_Pradesh,Baghpat,"Sardar Patel Inter College, Baghpat - UPPCB",16-12-2025 21:00,28.964949,77.278761,CO,10,42,33
India,Uttar_Pradesh,Bareilly,"Civil Lines, Bareilly - UPPCB",16-12-2025 21:00,28.359581,79.414455,SO2,1,7,2
India,Uttar_Pradesh,Bareilly,"Rajendra Nagar, Bareilly - UPPCB",16-12-2025 21:00,28.38910936,79.42963708,PM2.5,81,183,110
India,Uttar_Pradesh,Bareilly,"Rajendra Nagar, Bareilly - UPPCB",16-12-2025 21:00,28.38910936,79.42963708,PM10,125,183,142
India,Uttar_Pradesh,Firozabad,"Nagla Bhau, Firozabad - UPPCB",16-12-2025 21:00,27.168897,78.37696,PM2.5,33,88,53
India,Uttar_Pradesh,Firozabad,"Nagla Bhau, Firozabad - UPPCB",16-12-2025 21:00,27.168897,78.37696,NH3,2,2,2
India,Uttar_Pradesh,Firozabad,"Nagla Bhau, Firozabad - UPPCB",16-12-2025 21:00,27.168897,78.37696,CO,10,20,17
India,Uttar_Pradesh,Moradabad,"Transport Nagar, Moradabad - UPPCB",16-12-2025 21:00,28.802625,78.753728,SO2,31,37,33
India,Uttar_Pradesh,Muzaffarnagar,"New Mandi, Muzaffarnagar - UPPCB",16-12-2025 21:00,29.4723508,77.7194031,CO,23,100,75
India,Uttar_Pradesh,Muzaffarnagar,"New Mandi, Muzaffarnagar - UPPCB",16-12-2025 21:00,29.4723508,77.7194031,OZONE,17,151,116
India,Uttar_Pradesh,Noida,"Sector - 62, Noida - IMD",16-12-2025 21:00,28.6245479,77.3577104,PM2.5,129,401,288
India,Uttar_Pradesh,Lucknow,"B R Ambedkar University, Lucknow - UPPCB",16-12-2025 21:00,26.766433,80.927299,PM10,56,131,95
India,Uttar_Pradesh,Lucknow,"B R Ambedkar University, Lucknow - UPPCB",16-12-2025 21:00,26.766433,80.927299,OZONE,26,27,26
India,Uttar_Pradesh,Lucknow,"Gomti Nagar, Lucknow - UPPCB",16-12-2025 21:00,26.86812,81.005119,SO2,9,12,10
India,Uttar_Pradesh,Lucknow,"Kendriya Vidyalaya, Lucknow - CPCB",16-12-2025 21:00,26.906111,80.948222,NO2,26,41,30
India,Uttar_Pradesh,Lucknow,"Kendriya Vidyalaya, Lucknow - CPCB",16-12-2025 21:00,26.906111,80.948222,NH3,12,17,15
India,Uttar_Pradesh,Ghaziabad,"Indirapuram, Ghaziabad - UPPCB",16-12-2025 21:00,28.646233,77.358075,PM2.5,160,422,269
India,Uttar_Pradesh,Ghaziabad,"Loni, Ghaziabad - UPPCB",16-12-2025 21:00,28.757294,77.278792,NO2,28,149,71
